id,question,subject
1,"What is the capital of France?","Geography"
2,"How do you declare a variable in JavaScript?","Programming"
3,"What is photosynthesis?","Biology"
4,"Solve for x: 2x + 5 = 15","Mathematics"
5,"Who wrote Romeo and Juliet?","Literature"
6,"What is the speed of light in a vacuum?","Physics"
7,"What is the difference between HTML and CSS?","Web Development"
8,"What causes earthquakes?","Geology"
9,"How do you calculate compound interest?","Finance"
10,"What is the periodic table?","Chemistry"
11,"What is the difference between TCP and UDP?","Computer Networks"
12,"What are the types of clouds?","Meteorology"
13,"How does machine learning work?","Artificial Intelligence"
14,"What is the structure of an atom?","Physics"
15,"How do you write a for loop in Python?","Programming"
16,"What is the water cycle?","Environmental Science"
17,"Who was the first person to walk on the moon?","History"
18,"What is DNA replication?","Biology"
19,"How do you calculate the area of a triangle?","Mathematics"
20,"What is the difference between syntax and semantics?","Linguistics"
21,"An anti-forest measure is\\nA. Afforestation\\nB. Selective grazing\\nC . Clearing forest\\nD. Selective felling","Biology"